date,header,time,description,date_entity
19.09.18,"שוער סכנין ניצל מתאונת דרכים: ""צפרתי והתפללתי לאלוהים"" ",20:54,"מתן עמבר, השוער השני של הקבוצה, התנגש חזיתית ברכב שסטה לנתיב שלו סמוך לביתו בראשון לציון. סובל מחתכים ופגיעות בגבו ובצווארו, אך שוחרר לביתו. ","מיקי שורץ  (תאריך: 19.09.18, שעה: 20:54) "
17.09.18,"סנגורו של דורס הנער: ""לא ייעשה לו משפט צדק"" ",11:28,"יום לאחר חשיפת ynet על אודות ההקלטות מהשיחות שבגינן הואשם אלי בר-זכאי בשיבוש מהלכי משפט, טען פרקליטו של דורס הנער אילון שלו-אמסלם כי נגד ","אלכסנדרה לוקש וניר (שוקו) כהן  (תאריך: 17.09.18, שעה: 11:28)  "
16.09.18,טרגדיה ברהט: פעוט נדרס למוות על ידי שכנתו ,14:19,"מוחמד ח'אלד אלעוברה, פעוט בן שנה וחצי, נפגע מרכב שכנתו בעת ששיחק מחוץ לביתו. מותו נקבע בבית החולים סורוקה ","חסן שעלאן ואילנה קוריאל  (תאריך: 16.09.18, שעה: 14:19) "
13.09.18,תביעה: הנזק בראש התגלה חצי שנה אחרי התאונה ,17:15,"הולך רגל נפגע ע""י אופנוע, אבל רק אחרי 6 חודשים החל לסבול מפגיעה קוגניטיבית. ביהמ""ש קיבל את התביעה ופסק לו פיצוי של 384 אלף ש' ","עו""ד מאיה וייס טמיר  (תאריך: 13.09.18, שעה: 17:15) "
13.09.18,רק עבודות שירות לקשיש שדרס בת 9 למוות; הפרקליטות ערערה ,13:45,"שרל מיטרני בן ה-80 פגע בילדה במעבר חצייה באילת, אבל השופט בחר לא לשלוח אותו למאסר. הפרקליטות דורשת בין 8 ל-21 חודשים ופיצוי כספי ","אילנה קוריאל  (תאריך: 13.09.18, שעה: 13:45) "
13.09.18,"מזל""טים תופסים את עברייני התנועה ",12:48,"קוסובו מטיסה מזל""טים שמתעדים את הנהגים שעוברים על החוק, ובטוחים שלא רואים אותם. השוטרים מראים לנהגים המופתעים את התיעוד המפליל ","רויטרס  (תאריך: 13.09.18, שעה: 12:48)  "
12.09.18,מעדה כשירדה מרכב. שופטת: זו תאונת דרכים ,21:19,"האישה פגעה באבן ונפצעה בברכה ביציאה מן המכונית. בית המשפט קבע שחברת ""אליהו"" שביטחה את המכונית תפצה אותה בכ-60 אלף שקל ","עו""ד פזית ונדל  (תאריך: 12.09.18, שעה: 21:19) "
11.09.18,סייעו לפצועים - ונדרסו: תיעוד תאונה כפולה ,19:23,עוברי אורח נזעקו לסייע לפצועי התנגשות בצומת עכו מזרח. כעבור דקה לחץ אחד הנהגים המעורבים בטעות על דוושת הגז - ופגע בהם. כך זה נראה במצלמות ,"רועי רובינשטיין ואחיה ראב""ד  (תאריך: 11.09.18, שעה: 19:23)  "
10.09.18,נהג עבר תאונה בזמן פסילה – ויפוצה בכל זאת ,17:48,"מכוניתו של מבוטח של ""מנורה"" נהרסה, אבל החברה סירבה לשלם. ביהמ""ש קיבל את טענתו שלפיה לא ידע על הפסילה, והוא יקבל 61 אלף שקל ","עו""ד חביב חורי  (תאריך: 10.09.18, שעה: 17:48) "
06.09.18,קורבנות החופש הגדול: 136 ילדים מתו בתאונות ב-5 שנים ,09:59,"מדו""ח של ארגון ""בטרם"" עולה כי הקיץ קיפחו את חייהם 24 ילדים. 11 ילדים מתו כתוצאה מטביעה ושבעה ילדים מתו בעקבות תאונת דרכים. מספר מקרי התמותה ","רותם אליזרע  (תאריך: 06.09.18, שעה: 09:59)  "
13.09.18,"מזל""טים תופסים את עברייני התנועה ",12:48,"קוסובו מטיסה מזל""טים שמתעדים את הנהגים שעוברים על החוק, ובטוחים שלא רואים אותם. השוטרים מראים לנהגים המופתעים את התיעוד המפליל ","רויטרס  (תאריך: 13.09.18, שעה: 12:48)  "
12.09.18,מעדה כשירדה מרכב. שופטת: זו תאונת דרכים ,21:19,"האישה פגעה באבן ונפצעה בברכה ביציאה מן המכונית. בית המשפט קבע שחברת ""אליהו"" שביטחה את המכונית תפצה אותה בכ-60 אלף שקל ","עו""ד פזית ונדל  (תאריך: 12.09.18, שעה: 21:19) "
11.09.18,סייעו לפצועים - ונדרסו: תיעוד תאונה כפולה ,19:23,עוברי אורח נזעקו לסייע לפצועי התנגשות בצומת עכו מזרח. כעבור דקה לחץ אחד הנהגים המעורבים בטעות על דוושת הגז - ופגע בהם. כך זה נראה במצלמות ,"רועי רובינשטיין ואחיה ראב""ד  (תאריך: 11.09.18, שעה: 19:23)  "
10.09.18,נהג עבר תאונה בזמן פסילה – ויפוצה בכל זאת ,17:48,"מכוניתו של מבוטח של ""מנורה"" נהרסה, אבל החברה סירבה לשלם. ביהמ""ש קיבל את טענתו שלפיה לא ידע על הפסילה, והוא יקבל 61 אלף שקל ","עו""ד חביב חורי  (תאריך: 10.09.18, שעה: 17:48) "
06.09.18,קורבנות החופש הגדול: 136 ילדים מתו בתאונות ב-5 שנים ,09:59,"מדו""ח של ארגון ""בטרם"" עולה כי הקיץ קיפחו את חייהם 24 ילדים. 11 ילדים מתו כתוצאה מטביעה ושבעה ילדים מתו בעקבות תאונת דרכים. מספר מקרי התמותה ","רותם אליזרע  (תאריך: 06.09.18, שעה: 09:59)  "
06.09.18,שתיקה רועמת: הנהג שדרס מול אביו של הנער בבית המשפט ,09:02,"אליהו בר-זכאי (23) מירושלים שדרס למוות את אילון שלו-אמסלם חלף על פני אביו של הנער, קובי אמסלם, שהגיע לדיון במשפט מבלי להניד עפעף. האב, לבוש ","איתי שיקמן וגלעד מורג  (תאריך: 06.09.18, שעה: 09:02)  "
01.09.18,רוכב נפגע בתאונה ויפוצה אף שלא עשה ביטוח ,08:21,לפני 4.5 שנים נפצע אופנוען באום אל פחם כשמכונית התנגשה בו. הוא הצליח לעקוף את חוק הפיצויים לתאונות דרכים – וזכה בכ-225 אלף שקל ,"עו""ד ערן פאר  (תאריך: 01.09.18, שעה: 08:21) "
30.08.18,"תושבי השכונה שבה נהרג נכה צה""ל: ""הכביש - כמו אוטוסטרדה"" ",18:57,"תושבי שכונת ל' בתל אביב טוענים כי על אף שמדובר בשכונת מגורים - העירייה הרחיבה את רחוב לוי אשכול, וסירבה לפסי האטה. ""המהירות המותרת היא עד 70 ","איתי שיקמן  (תאריך: 30.08.18, שעה: 18:57)  "
30.08.18,"האסון בירח הדבש בתאילנד: ידידיה נהרג, קסם נפצעה ",11:35,"שנה אחרי חתונתם, יצאו ידידיה וקסם קלרמן מנוף איילון לירח דבש ארוך במזרח. במהלך הטיול בתאילנד פגע בשניים אופנוע חולף. מותו של ידידיה נקבע ","ענבר טויזר ואיתמר אייכנר  (תאריך: 30.08.18, שעה: 11:35) "
27.08.18,"גילוי מצבה לנער שנדרס למוות: ""הנהג רכש בקבוקי אלכוהול כמו שרוצח ",17:21,"הוריו של אילון שלו-אמסלם, שנדרס למוות בחודש שעבר בתל אביב, הקדישו חלק ניכר מדבריהם בטקס במלאות חודש למות בנם לנהג המואשם בהריגתו. ""סרט האימה ","רועי רובינשטיין  (תאריך: 27.08.18, שעה: 17:21)  "
27.08.18,ילד בן 7 נפל מאופניו בבנימין ונחבל קשות ,16:17,"במשטרה ובמד""א התקבל דיווח על הילד שמפרכס על הכביש בכוכב יעקב. הוא פונה במצב קשה לבית החולים הדסה עין כרם בירושלים. הנסיבות נחקרות ","ישי פורת   (תאריך: 27.08.18, שעה: 16:17)  "
26.08.18,"מורה נהרג בכביש 90, נער נפצע קשה בטבריה ",17:18,"סמיר עודה, מורה המתגורר באיכסאל שליד עפולה, נהרג בהתנגשות חזיתית בין רכב פרטי למונית בכביש הבקעה. אשתו נפצעה בינוני. בטבריה נפצע קשה בן 17 ","אחיה ראב""ד  (תאריך: 26.08.18, שעה: 17:18) "
26.08.18,הנהג שדרס למוות את אילון שלו-אמסלם יישאר במעצר בית ,10:40,"אליהו בר-זכאי, הנהג שדרס למוות את הנער בתל אביב, יישאר במעצר בית עד להחלטה אחרת. בנוסף רישיונו נפסל והוצא נגדו צו יציאה מהארץ ","גלעד מורג   (תאריך: 26.08.18, שעה: 10:40)  "
25.08.18,חברות ביטוח רבו: מי תפצה חיילת שנפצעה בכביש ,06:55,"נהגת צעירה עצרה באיילון אחרי שהמנוע התחמם, ונפגעה ע""י נהגת אחרת. ביהמ""ש קבע שאת הפיצוי, 3.1 מיליון ש', ישלם הביטוח של החיילת ","מערכת psakdin  (תאריך: 25.08.18, שעה: 06:55) "
23.08.18,הרוג ו-9 פצועים בתאונת דרכים ליד מעלה אדומים ,10:39,"מיניבוס פלסטיני התהפך מסיבה שטרם התבררה. כוחות הצלה קבעו את מותו של אחד הנוסעים ופינו לבתי חולים 9 פצועים, 3 מהם במצב בינוני-קשה ","אלישע בן קימון  (תאריך: 23.08.18, שעה: 10:39)  "
21.08.18,"זייף מדבקת רכב של ""נתיבי ישראל"" - ותועד בזמן שחצה קו הפרדה רצוף ",00:28,"מתנדב בפרויקט ""שומרי הדרך"" של הרשות הלאומית לבטיחות בדרכים תיעד נהג ברכב ממשלתי לכאורה במהלך העבירה החמורה - אך בבירור שנערך בחברת הכבישים ","רועי רובינשטיין  (תאריך: 21.08.18, שעה: 00:28)  "
20.08.18,נהג בלי רישיון בזמן תאונה – ויפוצה בכל זאת ,16:52,"""הראל"" סירבה לשלם ללקוח בטענה שלא היה לו כיסוי ביטוחי. אבל בית המשפט קבע שלא הוכח שהנהג ידע על השלילה. הפיצוי: 193 אלף שקל ","עו""ד יצחק דהן  (תאריך: 20.08.18, שעה: 16:52) "
16.08.18,הובאה למנוחות אלופת ישראל בריצת שדה שנהרגה בתאונה ,18:59,"נועה חייט, שעוטרה בתארים רבים בתחרויות ספורט מגוונות, נהרגה אתמול כשמכונית פרטית פגעה בה כשרכבה על אופניה. מאות ליוו אותה בדרכה האחרונה בבית ","ליאור אל-חי  (תאריך: 16.08.18, שעה: 18:59)  "
13.08.18,טרגדיה באקוודור: 12 אוהדים נהרגו בתאונה ,11:02,"אוטובוס ועליו אוהדי ברצלונה המקומית התהפך בדרך למשחק, חלק מהנוסעים מתו במקום ו-35 נפצעו ","ynet ספורט  (תאריך: 13.08.18, שעה: 11:02) "
08.08.18,"אב נהרג לעיני בנו אך ""הפניקס"" סירבה לפצות ",07:32,"גבר שהגיע לאסוף את בנו התנגש במדרכה, סבל מדימום מוחי ומת. חברת הביטוח התעקשה שלא מדובר בתאונת דרכים, אבל ביהמ""ש קבע אחרת ","עו""ד ערן פאר  (תאריך: 08.08.18, שעה: 07:32) "
07.08.18,"הנהג פגע, ברח והפקיר – אבל המדינה סולחת ",08:51,"ההחלטה על קיצור מאסרו של שי סימון, שדרס למוות את מיטל אהרונסון, היא בבואה של ישראל: אגואיסטית, ללא ערבות הדדית ולקיחת אחריות ","ארז קיטה   (תאריך: 07.08.18, שעה: 08:51) "
06.08.18,פיצוי לצעיר שנטען ששיקר על תאונת פגע וברח ,17:45,"בן 15 סבל משברים בכתף וברגל, אבל קרן ""קרנית"" סירבה לשלם לו בטענה שגרסתו אינה אמת. בית המשפט קבע: הוא יפוצה ב-150 אלף שקל ","עו""ד פאני יהלום  (תאריך: 06.08.18, שעה: 17:45) "
03.08.18,"הונגריה: ישראלי נהרג בתאונה, משפחתו נפצעה ",21:32,תושב עראבה נהרג בתאונה חזיתית בין בודפשט לדברצן. רעייתו ושלושת ילדיהם אושפזו בבתי חולים. ובארץ: רוכב אופניים נפצע אנוש מפגיעת רכב ,"איתמר אייכנר, חסן שעלאן ורענן בן צור  (תאריך: 03.08.18, שעה: 21:32) "
02.08.18,"ספר זיכרונות לאילון: ""ילד של החיים"" ",08:33,"חבריו ללימודים של אילון שלו-אמסלם, שנדרס למוות בשבוע שעבר, פוקדים את בית משפחתו וכותבים בספר זיכרונות. ""יום יבוא ואזכה לראות את החיוך שלך"", ","רועי רובינשטיין  (תאריך: 02.08.18, שעה: 08:33)  "
31.07.18,"אופנוען נהרג בקרני שומרון, 7 בני משפחה נפצעו בגולן ",19:03,"רוכב אופנוע כבן 25 החליק, פגע ברכב ונהרג. בצפון: ג'יפ של האו""ם התנגש ברכב פרטי. בן 10 ובן 14 נפצעו, יתר בני המשפחה - תינוקת, בן 10, בן 15 ","אחיה ראב""ד ואלישע בן קימון  (תאריך: 31.07.18, שעה: 19:03)  "
30.07.18,"עץ נפל על נהגת. ביהמ""ש: זאת תאונת דרכים ",07:27,"ביטוח ""מנורה"" סירב לפצות אישה שנפגעה בטענה שהעץ הוא ""אלמנט זר"" והמכונית שלה הייתה רק ""זירה"". אבל השופט צבי ויצמן חשב אחרת ","עו""ד רן שקד  (תאריך: 30.07.18, שעה: 07:27) "
29.07.18,"הודעת הוואטסאפ דקות לפני התאונה: ""אילון, איפה אתה?"" ",13:31,"דודו של אילון שלו-אמסלם שמר עליו בעת שהוריו היו בתאילנד. שלוש דקות לפני התאונה השיב אילון להודעה ששלח דודו ואמר שהוא אצל חבר, אך לאחר מכן לא ","כתבי ynet  (תאריך: 29.07.18, שעה: 13:31)  "
29.07.18,"הנהג יובא להארכת מעצר: ""לא היה שיכור והיו מים על הכביש"" ",10:19,"עורך דינו של אלי בר זכאי, שחשוד שדרס למוות את הנער אילון שלו-אמסלם, טען באולפן ynet כי הכביש היה רטוב בשל פיצוץ צינור מים, שלטענת המשטרה ","אטילה שומפלבי, אלכסנדרה לוקש ושחר חי  (תאריך: 29.07.18, שעה: 10:19)  "
26.07.18,טרקה לבעלה את הדלת על האצבע - הביטוח ישלם ,07:30,"גבר שהחליף גלגל נפצע כשאשתו סגרה בטעות את דלת המכונית על ידו. ביהמ""ש קבע שמדובר בתאונת דרכים, ו""מנורה"" תפצה ב-143 אלף ש' ","עו""ד אופיר יעקובוביץ'  (תאריך: 26.07.18, שעה: 07:30) "
20.07.18,בטיחות בדרכים באירופה: ישראל בתחתית הדירוג ,10:40,"המועצה האירופאית לבטיחות בדרכים פרסמה דו""ח הסוקר את התקדמותן של מדינות אירופה בצמצום הקטל בכבישים. לידיעת משרד התחבורה: אנחנו מדורגים בתחתית ","רועי רובינשטיין  (תאריך: 20.07.18, שעה: 10:40)  "
18.07.18,הנהג הפוגע לא נמצא – הפצוע יפוצה ב-126 אלף שקל ,17:58,"הולך רגל נפגע בראשל""צ ושכן טען שרשם את מספר הרכב. אבל העדות לא התיישבה עם העובדות, והפיצוי הוטל על הקרן לנפגעי תאונות דרכים ","עו""ד יואל נעים  (תאריך: 18.07.18, שעה: 17:58) "
18.07.18,מבצע לאיסוף גמלים משוטטים הסתיים בדריסת נאקה ,14:26,"בעל עדר גמלים שהתנגד לפינוי גמלים משוטטים שנכנסו אל שטח אש בסמוך לצאלים, דרס על פי החשד את אחת הנאקות וגרם לשברים ברגליה האחוריות. ""היא סבלה ","ארז ארליכמן  (תאריך: 18.07.18, שעה: 14:26) "
10.07.18,הולכת רגל נהרגה מפגיעת אוטובוס בחיפה  ,08:40,"אישה כבת 65 נדרסה למוות ברחוב נחום חת ליד פארק התעשייה מת""ם בדרום חיפה  ","אחיה ראב""ד   (תאריך: 10.07.18, שעה: 08:40) "
09.07.18,216 אלף ש' לנהג שידו נמחצה כשניסה לעצור רכב מתדרדר ,20:28,"הנהג שכח להרים את בלם היד ומכוניתו החונה הידרדרה בכביש משופע. ביטוח ""הראל"" סירבה לפצות אותו על כך, אבל בית המשפט חשב אחרת ","עו""ד שי ניסן גבאי  (תאריך: 09.07.18, שעה: 20:28) "
09.07.18,הבוחן המשטרתי לא דייק - נהג זוכה מגרימת מוות ,07:21,"האישום הוגש נגד נהג משאית שפגע בהולכי רגל בכביש 38 והרג אחד מהם. החוקר טען שניתן היה למנוע את התאונה, אבל ביהמ""ש חשב אחרת ","עו""ד איתן קנול  (תאריך: 09.07.18, שעה: 07:21) "
06.07.18,רוכב אופנוע נהרג בתאונה עצמית בפתח תקווה ,01:14,"גבר כבן 30 שככל הנראה החליק בצומת סירקין בעיר נפצע באורח אנוש. צוות מד""א שהוזעק למקום ביצע בו פעולות החייאה שבסופן נקבע מותו ","רענן בן צור ואיתי בלומנטל  (תאריך: 06.07.18, שעה: 01:14) "
06.07.18,"מח""ש חוקרת חשד ל""תפירת תיק"": ""אם הוא לא היה חוצפן - הייתי משחרר ",00:27,"נהג מהשרון התעמת עם קצין ושוטרים. בדיקה בזירה העלתה כי הנהג לא נסע בשכרות. ואולם, הקלטה שהגיעה לידי ynet חשפה לכאורה כי השוטרים ניסו ""לתפור ","ישי פורת  (תאריך: 06.07.18, שעה: 00:27)  "
02.07.18,איך ישראל כץ חגג? בהטלת רפש ,16:32,שר התחבורה והבטיחות בדרכים מצא דרך מעניינת לציין את הירידה במספר ההרוגים בכבישים: הוא עקץ עמותה פרטית שעוסקת בכך יומם ולילה ,"ארז קיטה  (תאריך: 02.07.18, שעה: 16:32) "
01.07.18,"ירידה במספר ההרוגים בתאונות הדרכים: ""לא לפתוח בקבוקי שמפניה"" ",14:18,"בחצי השנה הראשונה של 2018 נהרגו 151 בני אדם, ירידה של יותר מ-20 אחוזים לעומת התקופה המקבילה אשתקד. מנכ""לית הרשות הלאומית לבטיחות בדרכים: ""זה ","הלל פוסק, אטילה שומפלבי ואלכסנדרה לוקש  (תאריך: 01.07.18, שעה: 14:18)  "
30.06.18,"הביטוח ניסה להתחמק: ""הנהג דרס בכוונה"" ",09:42,"אישה נפגעה ממכונית שנסעה לאחור ואושפזה ל-8 ימים. ""הראל"" לא רצתה לשלם בטענה שהאירוע לא נחשב תאונת דרכים, אבל ביהמ""ש חשב אחרת ","עו""ד מיכאל גבע  (תאריך: 30.06.18, שעה: 09:42) "
27.06.18,"למרות הסתירות בעדות: ""הפניקס"" תפצה נהג ",16:46,בית משפט השלום חייב את הביטוח לשלם 236 אלף שקל לנהג משאית שטען שהחליק כשעלה לקבינה. החברה ערערה למחוזי אבל נדחתה ,"עו""ד אופיר יעקובוביץ'  (תאריך: 27.06.18, שעה: 16:46) "
27.06.18,הרשימה המלאה: אלו הערים המסוכנות לילדים בדרכים ,01:06,"לקראת יציאת תלמידי בתי הספר והגנים לחופש הגדול, הציגה עמותת ""אור ירוק"" נתונים על אודות מעורבות ילדים עד גיל 14 בתאונות דרכים. בחדרה ובקריית ","אדיר ינקו ורועי רובינשטיין  (תאריך: 27.06.18, שעה: 01:06)  "
26.06.18,משקמים בעוטף עזה ,09:30,"אזור הדרום סובל ממחסור חמור בתשתיות רפואיות. למעשה, עד לא מזמן היה בלתי פשרי לקבל שם טיפולים משקמים מתקדמים, מהסוג שלו זוכים תושבי המרכז ","יובל גמליאל  (תאריך: 26.06.18, שעה: 09:30) "
24.06.18,"מאות הגיעו לנחם את משפחות ההרוגים בתאונה: ""אהבנו אותם"" ",21:25,"מנהל בית הספר שבו למדו שני תושבי דבורייה שנהרגו בג'נין סיפר: ""הכרתי את שניהם, צוות בית הספר והתלמידים עצובים"". חברו של עלי נג'אר אמר: ""בכיתי ","חסן שעלאן   (תאריך: 24.06.18, שעה: 21:25) "
24.06.18,שני צעירים מהצפון נהרגו בתאונה בג'נין  ,16:35,"עלי אחמד נג'אר ואדהם וליאם רומי, תלמיד תיכון וצעיר שלומד באוניברסיטה הערבית-אמריקנית בג'נין, נפגעו בהתנגשות עם מערבל בטון. צעיר ","חסן שעלאן  (תאריך: 24.06.18, שעה: 16:35) "
24.06.18,הרוג בתאונה בין כלי רכב באזור משגב ,10:44,בן 55 נהרג ובן 27 נפצע בינוני בתאונה חזיתית בין היישובים יודפת והררית. אחד הרכב סטה מנתיבו והתנגש בעוצמה ברכב שהגיע מהכיוון הנגדי ,"אחיה ראב""ד  (תאריך: 24.06.18, שעה: 10:44) "
20.06.18,"פלורי נהרגה במעבר החציה: ""הילדים מחפשים אותה בכל הבית"" ",14:53,ביום ההולדת לבנה יצאה פלורי ויטל שקד מעבודתה ברחוב יגאל אלון בתל אביב ונפגעה מרכב במעבר חציה. כעבור כמה שעות היא נפטרה. היא הותירה ילדים בני ,"יעל פרידסון ואיתי בלומנטל  (תאריך: 20.06.18, שעה: 14:53)  "
19.06.18,רוכב אופנוע נהרג בתאונה סמוך לגדרה ,08:01,"פרמדיקים של מד""א הגיעו לזירת תאונה בין אופנוע למשאית סמוך ליישוב בני עי""ש. מותו של רוכב האופנוע, בן 41, נקבע במקום ","מתן צורי  (תאריך: 19.06.18, שעה: 08:01) "
18.06.18,משרד הביטחון נגד חיילת שנפגעה בתאונה ,23:21,"קצינה נפצעה ב-2010 מפגיעת רכב ומאז סבלה מכאב עז ששינה את חייה. 8 שנים סירב המשרד להכיר בה כנכת צה""ל, עד שביהמ""ש שינה זאת  ","מערכת psakdin  (תאריך: 18.06.18, שעה: 23:21) "
13.06.18,סכנת האופניים החשמליים מתגברת - ואין לקיחת אחריות ,15:22,"גם מבקר המדינה הצביע על חוזר מנכ""ל משרד החינוך מלפני 4 שנים, שקבע נהלים מבחינת שימוש באופניים חשמליים. הזמן חלף, מספר ההרוגים עולה ומנכ""ל ","אדיר ינקו  (תאריך: 13.06.18, שעה: 15:22)  "
12.06.18,"בג""ץ דחה את העתירה לחייב אופניים חשמליים בביטוח חובה ",14:02,"בית המשפט העליון סירב להכריע בכל הנוגע להסדרת מעמד האופניים החשמליים וההשלכות הנובעות מכך. לדברי השופטים, יש למצות קודם את ההליכים מול ","אליצפן רוזנברג  (תאריך: 12.06.18, שעה: 14:02)  "
12.06.18,"נהגת פגעה וברחה - ביהמ""ש התחשב ב""התעשתות המוסרית"" ",07:07,"צעירה פצעה הולכת רגל עיוורת והמשיכה לנסוע. אבל בהמשך היא יצרה קשר קרוב וחם עם הנפגעת, מה ששכנע את ביהמ""ש לקצר את השלילה שלה ","עו""ד דוד אריכא  (תאריך: 12.06.18, שעה: 07:07) "
07.06.18,פקק של עצב: התאונות הקשות בדרכים של עורך התנועה בגלגלצ ,01:18,"מאחורי דיווחיו מהכבישים מסתתרים חיים לא קלים, שכוללים אח אחד שמת מלוקמיה, ואחר שנפצע בתאונה. אבל בני כבודי שומר על כבוד, שמחה - וכמובן גאווה ","ירדן אלעזר  (תאריך: 07.06.18, שעה: 01:18) "
05.06.18,"תיעוד מפניית פרסה מסוכנת: ""לא לחכות לעוד אסונות""  ",15:17,"נהגים רבים, שעוברים בכביש מרכזי בעיר טירה, מבצעים בחסות החוק פניית פרסה מסוכנת. התוצאה: אינספור תאונות, שחלקן תועדו במצלמות אבטחה. עמותת ","חסן שעלאן   (תאריך: 05.06.18, שעה: 15:17)  "
04.06.18,ישראלית נהרגה בתאונה בצפון הודו ,21:38,"מכונית פרטית ובה תיירים מהארץ ותיירת מארה""ב סטתה מהכביש, כ-115 ק""מ ממנאלי, ונפלה לערוץ שבצדו. מטיילת נהרגה וארבעה ישראלים נפצעו  ","איתמר אייכנר ואיתי בלומנטל  (תאריך: 04.06.18, שעה: 21:38) "
03.06.18,"הקטל בכבישים: בן 50 נהרג בצפון, בת 29 נהרגה בשומרון ",18:52,נקבע מותו של נהג טנדר שנפגע בהתנגשות עם משאית בכביש 66 בין צומת מגידו למשמר העמק. בצומת רחלים סטתה מכונית מהנתיב מסיבה לא ברורה. אישה נהרגה ,"אחיה ראב""ד ואלישע בן קימון  (תאריך: 03.06.18, שעה: 18:52)  "
30.05.18,תוך פחות מיממה: 4 הרוגים בכבישים ,07:55,רוכב אופנוע כבן 20 מת מפצעיו הלילה לאחר שהתנגש במערבל בטון בחיפה. עוד קודם לכן נהרג צעיר בתאונה חזיתית בכביש 70 ליד נתיב השיירה. אתמול נהרגו ,"אחיה ראב""ד   (תאריך: 30.05.18, שעה: 07:55)  "
29.05.18,"נהגים מתוודים: ""לקחנו חיים, וכלום לא יתקן את זה"" ",09:59,"בשביל להרוס ברגע אחד חיים של משפחות שלמות לא צריך כוונת זדון, מספיק להחזיק הגה. ארבעה נהגים שהביאו למותם של אנשים מספרים על היום שבו הכל קרה ","אריאלה שטרנבך  (תאריך: 29.05.18, שעה: 09:59)  "
